time,pos_actual_yaw,vel_actual_yaw,accel_control_yaw,pos_goal_yaw,vel_goal_yaw,pos_predicted_yaw,vel_predicted_yaw,iterations_yaw,pos_actual_pitch,vel_actual_pitch,accel_control_pitch,pos_goal_pitch,vel_goal_pitch,pos_predicted_pitch,vel_predicted_pitch,iterations_pitch,shoot_flag,solve_time_ms
0.33,-0.422223,2.41619,12.6554,-0.442353,2.11233,-0.384556,2.60602,10,0.0428128,0.18497,-7.20539,0.0417894,0.0228764,0.0447768,0.0768894,10,1,0.248
0.335,-0.409984,2.47947,-57.9116,-0.428484,2.12467,-0.379307,1.61079,10,0.0436476,0.148943,-5.90591,0.0422383,0.0227888,0.0452173,0.0603546,10,1,0.227
0.34,-0.39831,2.18991,-32.425,-0.414556,2.13258,-0.369109,1.70353,10,0.0443185,0.119414,-4.59861,0.042678,0.0226998,0.0455923,0.0504346,10,1,0.304
0.345,-0.387766,2.02778,-17.2455,-0.400588,2.13604,-0.359289,1.7691,10,0.0448581,0.0964207,-3.4696,0.0431069,0.0226094,0.045914,0.0443767,10,1,0.265
0.35,-0.377843,1.94156,-60,-0.386597,2.13506,-0.357403,0.783704,10,0.0452968,0.0790727,-16.8574,0.0435232,0.0225176,0.0445864,-0.173788,10,1,0.274
0.355,-0.368885,1.64156,-60,-0.3726,2.12962,-0.350819,0.767195,10,0.0454814,-0.00521415,-11.0141,0.0439257,0.0224245,0.0441642,-0.170425,10,1,0.312
0.36,-0.361427,1.34156,-52.4446,-0.358616,2.11973,-0.346185,0.690692,10,0.0453177,-0.0602846,-6.37705,0.0443132,0.02233,0.043696,-0.15594,10,1,0.218
0.365,-0.355375,1.07933,-2.96548,-0.344663,2.10538,-0.339518,1.03485,10,0.0449366,-0.0921698,-2.83041,0.0446848,0.0222341,0.0432356,-0.134626,10,1,0.292
0.37,-0.350015,1.06451,-60,-0.330758,2.08657,-0.34305,-0.135762,10,0.0444403,-0.106322,-43.2218,0.0450398,0.0221367,0.0379831,-0.754649,10,1,0.194
0.375,-0.345443,0.764506,-60,-0.316919,2.06332,-0.340216,-0.0676213,10,0.0433685,-0.322431,-26.1411,0.045378,0.022038,0.0355911,-0.714547,10,1,0.195
0.38,-0.34237,0.464506,-60,-0.303167,2.03564,-0.339941,-0.14066,10,0.0414295,-0.453136,-12.8338,0.0456991,0.0219379,0.0331887,-0.645644,10,1,0.218
0.385,-0.340798,0.164506,-60,-0.289518,2.00354,-0.346549,-0.931295,10,0.0390034,-0.517305,-73.9502,0.0460033,0.0218363,0.0229245,-1.62656,10,1,0.171
0.39,-0.340725,-0.135494,-60,-0.275993,1.96703,-0.349072,-0.977485,10,0.0354925,-0.887056,-41.5928,0.0462911,0.0217334,0.0175075,-1.51095,10,1,0.266
0.395,-0.342153,-0.435494,-60,-0.26264,2.43799,-0.354606,-1.22496,10,0.0305373,-1.09502,-16.7567,0.0465632,-0.0141328,0.0122269,-1.34637,10,0,0.221
0.4,-0.34508,-0.735494,-60,-0.24942,2.37601,-0.361765,-1.48919,10,0.0248528,-1.1788,-39.2029,0.0468199,-0.0143598,0.00276039,-1.76685,10,0,0.152
0.405,-0.349508,-1.03549,-1.86742,-0.236384,2.30811,-0.36525,-1.06351,10,0.0184687,-1.37482,-12.1081,0.0470623,-0.0145879,-0.00351572,-1.55644,10,0,0.108
0.41,-0.354708,-1.04483,26.4781,-0.223555,2.23433,-0.367402,-0.647659,10,0.0114433,-1.43536,7.46904,0.0472916,-0.0148171,-0.00924685,-1.32332,10,0,0.072
0.415,-0.359602,-0.91244,36.0784,-0.476792,2.34033,-0.369229,-0.371265,10,0.00435984,-1.39801,20.7287,-0.0251343,-0.0150473,-0.0142784,-1.08708,10,0,0.072
0.42,-0.363713,-0.732048,43.1147,-0.466486,2.42689,-0.369843,-0.0853284,10,-0.00237112,-1.29437,28.8683,-0.0253347,-0.0152786,-0.018539,-0.861346,10,0,0.072
0.425,-0.366834,-0.516475,47.1132,-0.455941,2.50741,-0.369281,0.190223,10,-0.00848212,-1.15003,33.004,-0.0255035,-0.0155109,-0.0220196,-0.654969,10,0,0.072
0.43,-0.368828,-0.280909,60,-0.445177,2.5818,-0.366621,0.575074,10,-0.0138197,-0.985009,34.1328,-0.0256386,-0.0157441,-0.0247549,-0.473017,10,0,0.072
